ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
-4.64,-1.02,7.75,-0.05,0.04,0.02,0.00,0.00,0,0,1
-4.80,-1.09,7.69,-0.03,0.06,0.02,0.00,0.00,0,0,1
-4.70,-0.97,7.73,-0.05,0.08,0.01,0.00,0.00,0,0,1
-4.78,-1.04,7.67,-0.07,0.04,0.02,0.00,0.00,0,0,1
-4.70,-1.10,7.74,-0.09,0.02,0.02,135.61,174.55,0,0,1
-5.14,-1.22,7.68,-0.15,0.12,0.06,114.28,141.22,0,0,1
-5.07,-1.45,7.55,-0.06,0.07,0.05,55.25,57.61,0,0,1
-5.10,-1.04,7.86,-0.10,-0.23,0.08,113.33,143.71,0,0,1
-3.96,-0.08,8.05,0.01,0.02,0.07,142.81,170.30,0,0,1
-3.80,-0.50,8.45,-0.12,-0.09,0.20,133.99,160.36,0,0,1
-3.06,0.74,8.78,0.10,-0.22,0.36,82.50,92.19,0,0,1
-1.90,1.24,8.04,0.08,0.02,0.26,72.75,99.84,0,0,1
-2.28,1.83,8.64,-0.06,0.06,0.01,126.54,156.00,0,0,1
-2.33,1.88,8.59,-0.04,0.03,0.03,126.20,156.72,0,0,1
-2.23,2.61,8.26,0.39,0.08,0.41,132.10,156.35,0,0,1
-1.73,4.46,8.44,-0.08,0.02,0.02,86.04,102.36,0,0,1
0.91,6.78,4.52,1.43,0.14,1.61,298.94,381.46,0,0,1
6.90,6.49,2.39,0.20,0.41,1.08,281.83,339.24,0,0,1
9.41,4.57,1.76,-0.05,-0.01,0.19,355.07,462.62,0,0,1
9.14,4.49,1.73,-0.14,-0.17,0.16,261.61,297.81,0,0,1
9.23,4.19,1.44,-0.07,-0.29,0.08,340.51,411.91,0,0,1
10.24,5.14,-0.77,-0.16,-0.21,-0.31,357.56,498.48,0,0,1
3.10,7.18,3.17,-1.27,-0.51,-1.37,453.24,647.62,0,0,1
0.75,7.42,5.21,-0.82,0.03,-0.70,999.93,1473.38,1,0,1
-0.34,7.76,6.40,1.15,0.85,1.60,680.99,884.36,0,1,1
6.40,7.79,1.12,0.28,0.57,0.90,422.56,464.87,0,1,1
8.62,5.58,0.98,-0.10,0.15,0.65,307.78,359.05,0,1,1
9.00,4.06,2.05,-0.09,0.09,-0.00,428.18,465.32,0,1,1
8.94,4.09,1.90,-0.05,0.05,0.02,328.48,377.09,0,1,1
8.88,4.01,2.04,-0.07,0.05,0.03,319.08,344.95,0,1,1
8.90,4.09,2.00,-0.07,0.04,0.03,472.48,520.89,0,1,1
8.87,4.05,1.92,-0.06,0.01,0.02,351.92,403.33,0,1,1
8.85,4.04,1.99,-0.06,0.04,0.02,428.69,456.26,0,1,1
8.76,4.05,1.96,-0.06,0.05,0.03,384.26,432.17,0,1,1
8.80,4.10,2.02,-0.07,0.03,0.02,325.90,350.27,0,1,1
8.90,4.16,2.03,-0.07,0.03,0.03,415.23,461.32,0,1,1
8.88,4.12,1.99,-0.05,0.04,0.04,455.99,525.61,0,1,1
8.91,3.95,1.94,-0.06,0.05,0.02,413.05,434.04,0,1,1
8.93,4.02,1.94,-0.06,0.02,0.02,415.51,474.68,0,1,1
8.87,3.95,1.92,-0.06,0.07,0.03,332.95,362.89,0,1,1
8.85,4.01,1.88,-0.06,0.06,0.02,300.80,329.23,0,1,1
8.88,3.90,1.80,-0.06,0.04,0.03,535.86,595.05,0,1,1
9.71,3.94,1.90,-0.07,-0.08,-0.14,410.59,470.93,0,1,1
7.16,7.82,1.33,-1.09,-0.96,-2.18,490.85,686.69,0,1,1
0.46,8.70,5.12,-0.93,-1.05,-0.71,1231.51,1603.09,1,1,1
0.30,7.16,3.99,1.11,1.23,1.90,768.24,841.67,0,2,1
7.44,5.87,2.06,0.29,0.31,0.91,469.04,520.84,0,2,1
9.47,4.00,2.12,-0.08,0.12,0.19,400.06,458.97,0,2,1
8.68,4.29,2.00,-0.06,0.01,0.01,438.90,463.19,0,2,1
8.66,4.45,1.98,-0.06,0.02,0.01,461.27,537.73,0,2,1
8.73,4.53,1.72,-0.07,0.02,0.02,357.57,395.80,0,2,1
8.84,4.58,1.48,-0.09,0.03,0.00,312.74,349.28,0,2,1
8.61,4.59,1.56,-0.07,0.04,0.02,558.66,610.80,0,2,1
8.69,4.73,1.41,-0.06,0.04,0.02,398.31,454.98,0,2,1
8.67,4.76,1.33,-0.07,0.05,0.01,482.06,506.10,0,2,1
8.69,4.75,1.36,-0.07,0.04,0.03,418.58,464.83,0,2,1
8.60,4.75,1.32,-0.08,0.03,0.03,352.90,379.63,0,2,1
8.77,4.81,1.36,-0.04,0.07,0.02,286.39,315.36,0,2,1
8.70,4.77,1.33,-0.07,0.04,0.02,557.38,647.87,0,2,1
8.67,4.72,1.26,-0.07,0.01,0.05,436.22,476.20,0,2,1
8.98,4.91,0.93,0.00,-0.56,0.32,466.87,532.81,0,2,1
10.53,1.77,-0.05,-0.02,0.16,0.28,350.06,387.77,0,2,1
11.28,4.40,-1.44,-0.66,-0.26,-1.52,444.22,617.90,0,2,1
1.84,7.75,2.83,-1.30,-0.33,-1.33,978.76,1334.36,1,2,1
0.18,7.07,5.77,1.19,1.07,1.67,1253.99,1580.08,1,2,1
8.34,5.84,0.52,0.79,0.22,1.50,626.05,678.25,0,3,1
8.55,3.28,-0.50,0.26,0.07,0.64,476.77,514.63,0,3,1
10.45,1.68,-1.03,-0.07,0.14,0.06,349.46,377.27,0,3,1
9.91,1.77,-0.76,-0.06,0.07,0.02,235.98,260.61,0,3,1
10.01,1.76,-0.62,-0.05,0.02,0.03,204.86,221.56,0,3,1
10.06,1.84,-0.70,-0.06,0.00,0.03,174.89,208.98,0,3,1
10.04,1.90,-0.82,-0.05,0.03,0.03,160.69,228.80,0,3,1
9.91,1.80,-0.79,-0.07,0.04,0.02,263.63,568.26,0,3,1
10.00,1.85,-0.79,-0.09,0.05,0.02,198.10,428.89,0,3,1
10.18,1.89,-0.93,-0.10,-0.04,0.07,154.65,205.27,0,3,1
9.96,1.85,-0.98,-0.04,0.05,0.01,165.96,214.87,0,3,1
10.21,1.78,-0.97,-0.09,0.05,0.05,141.30,168.16,0,3,1
9.94,1.72,-0.70,-0.10,0.01,0.03,140.36,168.72,0,3,1
9.97,1.76,-0.78,-0.04,-0.01,-0.00,149.72,184.85,0,3,1
10.00,1.64,-0.71,-0.07,0.09,0.06,164.83,202.07,0,3,1
10.00,1.80,-0.85,-0.05,0.07,0.04,211.77,288.36,0,3,1
10.72,1.85,-1.02,-0.08,-0.15,-0.27,248.31,357.72,0,3,1
4.53,5.96,1.68,-1.44,-0.29,-2.38,758.43,1091.89,0,3,1
-0.40,7.16,5.88,-1.02,-0.20,-0.68,1292.42,1690.64,1,3,1
0.25,7.95,5.12,1.21,0.88,1.67,662.09,720.27,0,4,1
8.67,6.39,-0.59,0.49,0.03,1.05,498.93,540.20,0,4,1
9.68,2.91,0.61,-0.06,0.34,0.42,337.86,379.91,0,4,1
9.80,2.70,0.47,-0.06,0.08,-0.01,388.70,436.79,0,4,1
9.70,2.79,0.48,-0.05,0.07,0.02,254.28,309.01,0,4,1
9.67,2.59,0.69,-0.07,0.04,0.03,309.08,353.80,0,4,1
9.90,2.30,0.35,-0.05,0.02,0.04,287.90,321.93,0,4,1
9.83,2.35,0.42,-0.07,0.05,0.00,265.16,287.39,0,4,1
9.78,2.34,0.53,-0.08,0.05,0.03,291.71,357.96,0,4,1
9.70,2.53,0.52,-0.05,0.05,0.00,331.05,397.54,0,4,1
9.73,2.55,0.47,-0.07,0.04,0.02,244.84,296.07,0,4,1
9.72,2.54,0.57,-0.06,0.02,0.02,288.61,331.37,0,4,1
9.75,2.45,0.54,-0.05,0.05,0.03,266.46,299.39,0,4,1
9.72,2.41,0.65,-0.06,0.05,0.03,216.18,244.80,0,4,1
9.84,2.38,0.54,-0.07,0.06,0.02,265.34,313.84,0,4,1
9.67,2.54,0.68,-0.05,0.04,0.03,367.29,434.24,0,4,1
9.75,2.54,0.61,-0.07,0.04,0.02,263.85,312.34,0,4,1
10.04,2.39,0.43,-0.09,-0.11,-0.00,338.39,401.80,0,4,1
7.18,6.04,0.80,-1.26,-0.66,-2.73,453.44,621.29,0,4,1
0.92,7.68,4.63,-0.96,-0.03,-0.97,1098.79,1488.66,1,4,1
3.61,7.64,2.73,1.43,0.61,2.57,620.53,653.60,0,5,1
9.59,3.53,1.16,-0.01,0.28,0.75,432.45,488.52,0,5,1
9.51,3.55,0.88,-0.04,-0.03,-0.00,374.18,445.69,0,5,1
9.39,3.52,1.08,-0.06,0.02,0.01,449.15,491.44,0,5,1
9.27,3.53,1.11,-0.05,0.06,0.03,423.84,482.78,0,5,1
9.36,3.49,0.96,-0.14,0.08,0.06,367.51,416.30,0,5,1
9.49,2.67,1.32,-0.48,0.22,0.17,337.61,370.20,0,5,1
9.13,1.91,3.36,-0.12,0.30,0.04,452.22,516.91,0,5,1
8.96,2.34,3.35,-0.10,-0.00,0.01,484.15,566.32,0,5,1
8.94,2.15,3.32,-0.06,0.05,0.02,433.03,480.98,0,5,1
8.88,2.56,3.56,-0.06,0.04,-0.01,447.02,515.72,0,5,1
8.86,2.54,3.59,-0.05,0.05,0.01,384.43,438.15,0,5,1
8.81,2.38,3.57,0.16,-0.27,-0.04,357.73,394.18,0,5,1
9.21,3.80,-0.16,0.27,-0.29,-0.02,464.61,522.04,0,5,1
9.59,3.23,-1.26,-0.14,0.16,-0.05,502.50,584.91,0,5,1
8.96,3.61,2.88,-0.42,0.46,-0.11,472.77,524.32,0,5,1
8.32,4.69,2.59,-0.17,0.13,-0.01,565.21,626.80,0,5,1
8.01,4.16,4.12,-0.07,0.16,0.01,424.11,470.10,0,5,1
