ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
5.26,6.62,4.63,-0.09,-0.22,0.01,1513.12,2007.31,1,0,1
6.12,5.40,5.50,-0.32,0.70,0.54,827.61,1291.03,1,0,1
4.77,6.51,5.49,-0.13,-0.15,0.02,795.10,970.56,0,1,1
4.46,7.23,4.24,-0.15,-0.25,0.16,492.21,575.57,0,1,1
3.95,5.83,5.77,-0.69,-1.29,-0.38,902.50,1373.16,1,1,1
5.52,6.81,4.61,-0.12,-0.05,0.34,829.78,1246.06,1,1,1
4.22,6.42,4.45,0.02,-0.05,-1.13,1610.97,1714.76,1,1,1
4.58,6.93,5.80,-0.36,-0.56,-0.00,1497.65,1563.56,1,1,1
1.12,8.68,4.27,-0.02,0.17,-0.12,1180.84,1361.58,1,1,1
1.69,8.49,4.08,-0.09,0.03,0.04,1042.38,1248.35,1,1,1
1.82,8.38,4.26,-0.07,0.01,0.03,1164.64,1325.73,1,1,1
1.80,8.36,4.28,-0.05,0.05,0.01,1341.32,1459.40,1,1,1
1.89,8.33,4.21,-0.07,0.05,0.02,1451.63,1538.92,1,1,1
1.83,8.27,4.28,-0.07,0.05,0.03,1003.24,1235.65,1,1,1
1.94,8.29,4.27,-0.06,0.02,0.02,1126.55,1257.96,1,1,1
1.93,8.28,4.30,-0.06,0.05,0.02,1405.10,1479.52,1,1,1
1.97,8.28,4.31,-0.07,0.00,0.04,1175.48,1210.30,1,1,1
2.54,7.77,4.47,-0.26,-0.15,0.56,953.81,1281.77,1,1,1
5.72,6.00,5.18,-0.51,-0.14,0.53,1040.80,1266.20,1,1,1
6.67,4.27,6.07,0.03,0.22,0.01,1256.97,1407.60,1,1,1
6.76,3.85,5.60,-0.12,0.08,0.09,1337.44,1403.66,1,1,1
6.61,4.30,5.69,-0.06,0.08,-0.04,1047.69,1328.53,1,1,1
6.54,4.70,5.81,-0.05,0.03,-0.00,1065.39,1275.18,1,1,1
8.39,2.06,4.00,-0.04,-1.24,0.92,1235.33,1381.82,1,1,1
7.36,2.90,-0.47,-0.77,-0.76,-1.98,1206.72,1226.03,1,1,1
5.25,9.68,-0.38,-0.29,0.62,0.06,1179.67,1455.41,1,1,1
4.33,8.99,-0.38,-0.07,0.00,0.02,1286.84,1485.33,1,1,1
9.27,8.46,2.12,-1.23,0.25,1.43,1199.82,1343.00,1,1,1
9.71,-1.38,1.09,0.05,-0.88,2.62,888.15,934.50,0,2,1
-7.05,-3.71,5.48,0.70,1.46,1.95,479.30,576.38,0,2,1
-7.41,-3.06,5.20,-0.12,0.12,0.19,800.36,986.22,0,2,1
-7.13,-3.03,4.76,-0.04,0.03,0.14,512.83,611.32,0,2,1
-7.17,-2.93,5.06,-0.08,-0.01,0.02,453.24,518.68,0,2,1
-7.09,-3.00,5.00,-0.07,0.06,0.06,350.72,404.96,0,2,1
-7.22,-2.85,4.85,-0.05,0.09,0.04,632.68,957.08,0,2,1
-7.24,-2.82,4.91,-0.05,-0.00,0.02,860.63,1255.23,1,2,1
-7.28,-2.84,4.95,-0.07,-0.02,0.02,841.85,963.52,0,3,1
-7.12,-2.83,4.99,-0.05,0.06,0.02,589.10,639.19,0,3,1
-7.26,-2.93,5.12,-0.05,-0.01,0.04,1004.95,1481.12,1,3,1
-7.15,-2.77,5.14,-0.06,-0.00,0.03,1094.82,1432.51,1,3,1
-7.21,-2.79,5.23,-0.07,0.06,0.04,962.78,1036.63,0,4,1
-7.24,-2.71,5.20,-0.06,0.03,0.04,529.59,583.78,0,4,1
-7.24,-2.70,5.12,-0.06,0.08,0.03,1049.88,1475.12,1,4,1
-7.10,-2.66,5.11,-0.06,0.04,0.01,938.94,1152.10,1,4,1
-7.19,-2.69,5.10,-0.09,0.07,0.02,834.77,884.28,0,5,1
-6.79,-5.09,4.76,0.03,0.19,-1.83,558.29,633.23,0,5,1
1.81,-5.26,6.44,0.35,-0.19,-1.67,1151.39,1585.49,1,5,1
3.99,-6.00,6.36,0.03,0.04,0.01,999.67,1259.63,1,5,1
3.44,-5.66,6.82,-0.05,0.25,0.00,1079.51,1292.90,1,5,1
3.26,-5.46,7.12,-0.08,0.29,0.12,1090.37,1271.10,1,5,1
2.21,-5.77,7.41,-0.07,-0.06,0.05,1121.00,1285.93,1,5,1
2.88,-5.66,7.20,-0.06,0.11,0.06,1217.59,1332.59,1,5,1
2.74,-5.37,7.05,-0.11,-0.14,0.11,1337.35,1419.16,1,5,1
2.40,-5.56,7.06,-0.08,0.20,0.00,938.96,1102.88,1,5,1
3.80,-5.26,6.97,-0.01,-0.32,-0.00,808.84,988.26,0,6,1
1.12,-3.60,6.06,0.38,1.31,1.66,1162.32,1276.37,1,6,1
-0.25,2.20,9.96,0.90,-3.14,-1.57,1637.33,1652.15,1,6,1
3.17,6.18,6.05,-0.05,0.04,-0.01,1399.58,1494.54,1,6,1
3.64,7.44,5.57,0.23,0.08,-0.04,1176.37,1375.55,1,6,1
2.29,8.54,3.80,-0.04,0.01,0.02,1431.99,1542.45,1,6,1
2.51,8.28,4.05,-0.09,0.02,0.05,1433.38,1478.40,1,6,1
2.69,8.22,4.05,-0.10,0.03,0.03,1300.57,1420.42,1,6,1
2.87,8.04,4.18,-0.11,-0.01,0.04,1081.91,1254.81,1,6,1
2.90,8.05,4.23,-0.08,0.06,0.01,1432.96,1510.10,1,6,1
2.88,8.02,4.26,-0.07,0.05,0.02,1497.21,1548.65,1,6,1
2.88,8.00,4.26,-0.08,0.04,0.03,1209.83,1343.87,1,6,1
2.95,7.97,4.31,-0.07,0.04,0.02,1119.98,1266.64,1,6,1
3.08,7.96,4.29,-0.10,0.03,0.04,1338.93,1441.92,1,6,1
3.20,7.81,4.43,-0.11,0.03,0.03,1211.80,1261.72,1,6,1
3.22,7.80,4.50,-0.07,0.03,0.00,1088.68,1331.95,1,6,1
3.30,7.73,4.52,-0.08,0.01,0.05,1094.94,1284.07,1,6,1
3.43,7.68,4.55,-0.06,0.02,0.04,1236.94,1373.64,1,6,1
3.41,7.65,4.55,-0.07,0.07,0.02,1055.30,1117.78,1,6,1
3.46,7.70,4.42,-0.06,0.05,0.02,1040.21,1329.11,1,6,1
3.44,7.70,4.49,-0.07,0.04,0.02,1053.04,1300.96,1,6,1
3.48,7.66,4.49,-0.07,0.04,0.03,1432.11,1580.64,1,6,1
3.53,7.69,4.53,-0.08,0.03,0.03,1479.13,1546.00,1,6,1
3.56,7.60,4.48,-0.08,0.03,0.02,1248.15,1405.15,1,6,1
3.58,7.64,4.53,-0.08,0.04,0.03,1198.11,1345.31,1,6,1
2.86,6.90,4.59,-0.39,0.04,0.31,1293.74,1436.79,1,6,1
