ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
10.18,1.29,0.46,0.04,-0.14,0.05,469.98,687.02,0,0,1
10.15,0.30,-0.46,0.07,-0.05,0.14,401.85,651.06,0,0,1
10.45,-0.12,-0.88,-0.08,0.01,0.15,416.33,646.53,0,0,1
12.39,0.45,-2.29,-0.22,-0.59,-1.44,1119.11,1592.05,0,0,1
3.89,9.84,-1.10,-1.37,-0.37,-2.02,1538.16,1876.60,1,0,1
0.66,9.02,1.85,0.91,0.27,2.09,774.61,953.79,0,1,1
9.88,4.60,-1.57,0.40,0.02,1.50,840.43,1048.90,0,1,1
10.83,0.20,-1.07,-0.00,0.14,0.49,730.98,870.88,0,1,1
10.25,0.07,-1.01,-0.12,0.17,0.13,663.77,799.76,0,1,1
10.66,-0.20,-0.81,-0.10,-0.02,-0.04,720.09,1037.75,0,1,1
10.87,4.03,-1.74,-0.90,0.25,-1.84,1166.51,1500.10,0,1,1
-0.23,7.22,2.24,-1.03,-0.27,-2.13,1337.97,1609.10,1,1,1
3.99,8.29,0.42,0.84,0.28,1.88,866.91,981.03,0,2,1
10.61,3.07,-1.50,0.31,-0.00,1.25,859.24,1026.83,0,2,1
11.09,-0.13,-1.12,-0.01,-0.02,0.40,681.52,819.86,0,2,1
10.52,-0.51,-1.03,-0.11,0.08,-0.03,580.01,658.83,0,2,1
11.35,0.23,-1.49,-0.30,-0.08,-0.54,849.34,1164.04,0,2,1
7.28,6.08,-0.27,-1.01,-0.19,-2.32,1544.26,1855.23,1,2,1
-0.77,8.63,3.73,0.18,0.14,0.59,1141.03,1339.80,0,3,1
6.41,6.87,-0.14,1.22,0.72,2.60,905.95,1030.13,0,3,1
11.34,-0.10,-2.10,0.25,-0.01,0.54,954.58,1138.97,0,3,1
9.76,-0.26,-1.26,-0.13,0.05,0.01,610.36,673.28,0,3,1
10.33,-0.43,-1.23,-0.11,0.05,-0.02,603.27,823.75,0,3,1
11.07,1.75,-2.08,-0.50,-0.23,-1.00,1352.77,1723.84,1,3,1
0.91,11.69,1.98,-0.08,0.40,0.17,1132.37,1387.29,0,4,1
6.43,6.88,0.60,0.83,0.19,1.71,930.41,1068.99,0,4,1
11.88,-0.10,-2.23,0.13,0.01,0.76,781.59,918.35,0,4,1
10.30,-0.76,-1.14,-0.14,0.08,0.12,661.96,777.43,0,4,1
11.79,-0.49,-2.04,-0.02,-0.19,-1.43,1132.28,1536.61,0,4,1
4.21,7.52,0.25,-1.16,-0.13,-1.98,1275.82,1604.32,1,4,1
