ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
8.84,3.79,2.12,-0.11,0.0,0.0,411.64,510.8,0,0,3
8.8,3.87,2.04,-0.07,0.05,0.03,0.0,405.35,0,0,3
9.02,4.44,2.07,0.0,-0.16,0.21,0.0,365.99,0,0,3
9.68,2.49,0.69,0.14,-0.03,0.23,547.79,762.57,0,0,3
9.83,1.81,0.27,-0.04,0.02,-0.01,446.18,596.34,0,0,3
9.57,1.7,0.91,-0.28,-0.06,0.16,502.1,760.09,0,0,3
10.61,1.41,0.67,-0.13,-0.13,-0.01,791.94,1161.17,0,0,3
5.79,5.68,0.19,-1.09,-0.04,-2.6,1446.1,1819.33,1,0,3
-3.42,8.0,4.01,0.73,0.36,1.26,813.31,968.03,0,1,3
6.3,7.36,-0.34,-0.0,0.43,1.35,787.34,927.22,0,1,3
9.19,3.41,0.23,0.11,0.3,0.81,748.16,953.76,0,1,3
10.59,0.42,1.02,-0.09,-0.12,-0.01,628.41,751.16,0,1,3
11.2,2.19,-0.69,-0.5,-0.42,-1.05,933.13,1208.63,0,1,3
4.28,7.1,1.36,-0.72,-0.36,-1.96,1443.35,1738.0,1,1,3
-2.22,8.48,2.32,0.81,0.64,1.98,870.91,1063.46,0,2,3
8.88,5.69,-0.61,0.08,-0.0,1.31,935.7,1120.1,0,2,3
10.37,1.14,-0.79,0.09,0.03,0.73,828.93,1075.55,0,2,3
10.88,-0.68,-0.11,-0.05,0.07,0.06,649.74,882.02,0,2,3
11.54,0.19,-1.6,-0.37,-0.13,-0.82,1122.11,1430.33,0,2,3
6.86,6.94,-1.74,-1.3,-0.5,-2.61,1576.69,1774.34,1,2,3
0.68,8.31,1.68,0.7,0.34,2.07,1093.4,1219.29,0,3,3
9.38,4.18,-0.73,0.35,-0.05,1.19,1016.46,1239.4,0,3,3
9.55,0.39,-0.24,0.14,0.27,0.92,948.2,1169.94,0,3,3
