ax,ay,az,gx,gy,gz,mav,rms
2.31,-1.23,8.96,0.25,0.38,-0.04,1335.71,1779.32
2.0,-0.89,9.07,0.32,0.46,0.05,1000.54,1250.23
1.24,-0.28,9.2,0.35,0.37,0.34,930.71,1131.89
1.01,-0.12,9.52,0.51,0.36,0.47,1213.11,1471.56
1.07,0.4,9.21,0.67,0.55,0.65,1014.6,1189.34
-0.27,1.45,8.26,0.64,0.59,0.83,1471.65,1676.2
-0.14,2.45,8.15,0.29,0.57,0.97,1522.88,1672.8
-1.29,1.18,10.37,-0.13,0.29,1.19,1483.2,1603.91
-0.63,1.26,10.01,-0.12,0.05,1.25,1416.3,1542.43
0.14,1.39,10.91,-0.23,-0.95,1.39,1295.24,1439.39
1.72,0.86,10.74,0.01,-1.65,1.65,1535.93,1672.09
4.53,0.22,9.63,0.29,-2.15,1.47,1476.62,1557.37
7.61,-0.44,7.36,0.85,-2.18,0.46,762.85,859.35
7.67,0.34,5.29,1.16,-1.08,-0.39,580.96,655.37
7.88,2.78,3.54,1.26,-1.1,-0.82,482.29,539.57
8.05,3.94,4.55,1.01,-0.49,-0.59,482.23,676.63
9.88,4.1,1.64,1.22,-0.02,-1.26,463.54,563.97
6.42,5.5,-0.14,1.43,0.48,-2.71,1430.64,1872.73
2.7,7.53,-0.22,2.12,1.09,-2.99,1331.31,1624.53
-1.17,8.84,-0.4,2.07,0.95,-1.63,1211.61,1373.17
-2.5,9.55,-3.24,1.59,0.29,0.43,858.34,984.63
-0.19,8.98,-4.74,1.05,0.5,1.65,718.5,836.64
2.83,8.36,-6.48,0.48,1.43,2.23,660.5,791.38
4.16,6.0,-4.46,0.02,1.1,2.41,1097.5,1457.71
7.67,3.73,-3.39,-0.01,0.84,2.19,1170.17,1425.13
9.98,2.57,-3.98,-0.07,0.96,1.75,842.67,966.06
9.24,1.2,-3.46,-0.26,-0.32,1.6,646.83,720.03
8.86,-0.45,-4.03,-0.18,0.35,1.52,1215.34,1558.63
11.57,-1.74,-3.84,-0.3,0.38,0.7,1341.65,1635.45
10.61,-0.92,-1.97,-0.13,-0.46,-0.08,1416.56,1630.5
9.47,0.0,-2.82,-0.02,-0.29,-0.11,1214.71,1409.4
9.53,-0.22,-3.29,-0.02,0.07,0.07,1112.04,1210.58
10.76,-0.37,-3.15,-0.06,0.04,0.07,1063.37,1383.67
11.89,-0.37,-3.59,-0.18,-0.12,-0.41,1464.13,1694.59
