ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
8.79,2.8,3.46,-0.06,0.03,0.02,0.0,0.0,0,0,1
8.77,2.84,3.46,-0.07,0.04,0.02,0.0,0.0,0,0,1
8.73,2.85,3.45,-0.06,0.05,0.01,0.0,0.0,0,0,1
8.75,2.81,3.47,-0.05,0.04,-0.01,0.0,0.0,0,0,1
8.61,2.96,3.54,-0.06,0.05,0.01,0.0,0.0,0,0,1
8.75,2.96,3.57,-0.06,0.03,0.01,0.0,0.0,0,0,1
8.56,3.08,3.71,-0.02,0.01,0.02,0.0,0.0,0,0,1
8.64,3.42,3.92,-0.01,-0.04,0.05,0.0,0.0,0,0,1
8.51,3.24,3.78,0.02,-0.15,0.16,0.0,311.14,0,0,1
8.53,3.16,3.38,0.18,-0.25,0.22,0.0,341.07,0,0,1
9.24,2.97,2.5,0.34,-0.3,0.29,309.33,371.8,0,0,1
9.46,2.41,1.75,0.34,-0.19,0.38,310.51,363.53,0,0,1
9.71,2.31,1.5,0.39,-0.16,0.37,320.14,384.04,0,0,1
9.77,2.26,1.5,0.19,-0.03,0.38,0.0,318.31,0,0,1
9.81,1.64,1.52,-0.05,-0.05,0.35,0.0,315.29,0,0,1
9.7,1.42,1.58,-0.25,-0.02,0.27,0.0,344.24,0,0,1
9.61,0.82,1.83,-0.19,-0.07,0.16,0.0,339.15,0,0,1
9.96,0.83,1.46,-0.29,0.01,0.1,0.0,360.51,0,0,1
9.96,1.04,1.07,-0.29,-0.05,0.08,0.0,340.07,0,0,1
10.52,0.88,1.5,-0.23,-0.1,0.08,320.83,393.17,0,0,1
10.97,0.8,1.56,-0.33,0.11,-0.17,440.87,626.07,0,0,1
12.78,1.12,1.68,-0.13,-0.37,-0.96,761.16,1136.01,0,0,1
13.49,2.1,-0.89,-0.6,-0.31,-2.76,671.99,886.66,0,0,1
9.24,3.27,-0.72,-1.39,-0.68,-3.49,962.84,1283.03,0,0,1
5.76,4.83,1.51,-1.12,-1.09,-3.29,1049.58,1370.24,0,0,1
0.54,3.68,2.63,-1.43,-0.4,-3.34,1163.27,1392.79,0,0,1
