ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
9.31,1.70,2.74,-0.09,0.08,0.04,0.00,391.40,0,0,1
9.38,1.89,2.93,-0.04,0.05,0.03,0.00,357.23,0,0,1
9.34,2.17,3.46,0.03,-0.06,0.12,0.00,302.38,0,0,1
9.13,2.06,3.13,0.08,-0.25,0.21,0.00,0.00,0,0,1
9.13,1.53,2.42,0.21,-0.31,0.22,0.00,0.00,0,0,1
9.88,1.36,1.47,0.30,-0.32,0.20,0.00,0.00,0,0,1
10.00,1.16,1.15,0.23,-0.22,0.20,0.00,0.00,0,0,1
10.13,0.98,0.72,0.08,-0.03,0.21,0.00,411.53,0,0,1
11.70,0.79,0.45,-0.16,0.04,0.07,512.10,708.17,0,0,1
11.29,0.84,1.58,-0.10,0.27,-0.46,595.59,766.91,0,0,1
13.81,1.33,-0.17,-0.39,0.40,-1.60,498.46,631.48,0,0,1
11.04,2.71,-0.28,-0.78,-0.28,-2.64,470.55,628.77,0,0,1
10.05,3.71,-0.05,-1.32,-0.99,-3.20,813.76,1051.31,0,0,1
6.66,5.09,0.96,-1.29,-0.90,-3.32,1172.50,1535.80,1,0,1
-3.52,8.64,5.53,-0.05,0.24,0.18,677.01,768.94,0,1,1
-4.85,8.30,5.51,0.38,1.05,0.96,571.44,624.50,0,1,1
-3.32,6.74,3.97,0.86,1.44,2.55,444.98,473.18,0,1,1
-0.05,7.06,2.15,0.79,0.69,3.84,316.58,378.22,0,1,1
8.57,5.78,0.77,0.44,0.85,3.89,336.10,424.97,0,1,1
10.23,2.73,2.68,0.19,0.79,2.99,432.89,641.81,0,1,1
10.47,1.78,1.87,0.32,-0.29,1.82,0.00,324.84,0,1,1
9.98,1.05,0.16,0.05,-0.82,1.63,0.00,334.90,0,1,1
14.19,0.21,0.50,0.03,-0.04,0.98,0.00,0.00,0,1,1
7.97,0.93,1.51,-0.07,0.66,-0.18,0.00,0.00,0,1,1
10.77,0.44,0.86,-0.15,0.26,0.04,0.00,0.00,0,1,1
10.06,0.63,0.98,-0.08,0.11,0.00,0.00,0.00,0,1,1
9.75,0.43,1.58,-0.11,0.15,-0.02,0.00,0.00,0,1,1
9.50,0.73,1.46,-0.11,-0.19,0.05,0.00,449.74,0,1,1
10.81,0.61,1.28,-0.09,-0.13,-0.02,397.91,702.27,0,1,1
12.29,0.79,1.41,-0.18,-0.41,-0.84,431.76,625.35,0,1,1
12.57,1.82,0.06,-0.36,0.54,-1.71,590.17,901.90,0,1,1
10.56,2.83,0.08,-0.65,-0.32,-2.35,649.07,923.97,0,1,1
8.85,3.94,0.88,-0.92,-0.53,-2.67,775.54,1062.14,0,1,1
4.80,5.62,2.04,-0.96,-0.77,-2.94,703.73,935.64,0,1,1
4.23,7.53,1.61,-1.24,-0.90,-3.08,902.94,1273.70,0,1,1
-1.33,3.59,4.78,-1.45,0.43,-3.37,1005.68,1351.84,0,1,1
-4.02,7.23,5.98,-0.47,0.51,-1.30,896.26,1162.56,0,1,1
-3.32,8.30,4.60,-0.07,0.31,-0.31,801.57,902.45,0,1,1
-3.25,8.30,4.72,0.14,0.43,0.29,670.07,829.54,0,1,1
-1.45,7.99,3.79,0.26,0.15,0.69,536.92,729.24,0,1,1
-3.80,5.26,4.21,0.81,0.46,3.34,395.50,443.80,0,1,1
1.86,5.92,1.77,0.98,0.10,4.22,430.95,560.72,0,1,1
5.68,4.62,1.27,0.65,0.46,4.27,341.12,469.63,0,1,1
11.65,1.46,1.15,0.42,0.71,3.34,459.93,653.41,0,1,1
11.94,0.65,0.62,0.21,0.30,2.06,302.62,334.60,0,1,1
12.50,0.08,1.36,0.12,-0.38,1.17,0.00,0.00,0,1,1
12.77,0.40,0.49,0.11,-0.02,-0.18,0.00,306.66,0,1,1
9.11,0.75,1.44,-0.09,-0.17,0.10,0.00,0.00,0,1,1
9.72,0.19,1.63,-0.10,0.04,0.02,0.00,0.00,0,1,1
9.97,0.45,0.92,-0.14,0.09,-0.07,0.00,0.00,0,1,1
10.16,0.44,1.53,-0.11,0.02,-0.03,0.00,0.00,0,1,1
9.95,0.74,1.18,-0.10,0.02,-0.02,0.00,380.22,0,1,1
10.23,0.50,1.46,-0.09,0.02,0.02,313.54,460.28,0,1,1
13.51,0.59,1.02,-0.14,-0.42,-0.72,432.03,635.92,0,1,1
11.45,1.35,1.20,-0.23,0.85,-1.67,387.32,476.78,0,1,1
13.57,3.21,0.14,-0.51,-0.36,-2.44,591.49,857.23,0,1,1
9.27,4.03,1.07,-0.87,-0.83,-3.23,642.42,873.98,0,1,1
4.69,5.95,1.23,-1.01,-0.80,-3.47,1100.50,1491.97,1,1,1
-6.61,6.16,7.02,-0.55,-0.30,-0.68,938.65,1185.23,0,2,1
-3.03,8.14,5.27,-0.04,0.20,0.23,586.91,713.10,0,2,1
-3.24,7.40,5.54,0.42,0.88,1.31,392.99,462.11,0,2,1
-2.75,6.42,4.31,0.86,1.06,2.97,323.41,383.12,0,2,1
1.57,7.06,2.37,0.77,0.09,3.65,312.70,362.46,0,2,1
6.52,5.98,1.42,0.85,-0.02,3.46,0.00,366.34,0,2,1
9.01,3.84,1.36,0.53,0.43,3.02,321.13,488.24,0,2,1
9.96,1.87,1.58,0.21,0.30,2.31,0.00,0.00,0,2,1
11.10,1.06,0.82,0.20,-0.34,1.89,0.00,0.00,0,2,1
16.66,0.28,0.24,-0.03,-0.18,0.62,0.00,363.92,0,2,1
6.93,1.25,1.85,-0.01,0.16,0.05,0.00,0.00,0,2,1
11.02,0.17,1.47,-0.14,0.27,0.03,0.00,0.00,0,2,1
9.60,0.57,1.43,-0.06,-0.05,0.05,0.00,0.00,0,2,1
9.92,0.53,1.52,-0.06,0.08,0.01,0.00,0.00,0,2,1
10.15,0.55,1.39,-0.08,0.09,0.04,0.00,0.00,0,2,1
9.95,0.50,1.46,-0.09,0.07,0.04,0.00,0.00,0,2,1
10.53,0.43,1.56,-0.09,0.03,-0.04,0.00,434.61,0,2,1
14.10,0.44,1.51,-0.14,-0.11,-0.96,429.62,672.09,0,2,1
9.88,2.04,0.88,-0.19,-0.44,-1.78,495.91,718.29,0,2,1
9.57,3.14,0.79,-0.56,-0.19,-2.05,545.94,733.68,0,2,1
9.38,4.90,0.83,-0.82,-0.37,-2.67,693.88,964.90,0,2,1
6.42,6.06,0.68,-0.97,-0.52,-3.34,731.85,1025.47,0,2,1
2.50,6.38,1.78,-1.24,-0.30,-3.45,825.10,1107.22,0,2,1
-0.92,7.84,2.84,-1.35,-0.68,-2.96,807.90,1139.18,0,2,1
-5.49,6.29,6.61,-0.85,-0.56,-1.53,1089.50,1399.03,0,2,1
-3.75,7.44,5.83,-0.17,0.00,-0.01,893.90,1146.74,0,2,1
-3.67,7.32,5.02,-0.02,-0.14,0.21,921.63,1123.96,0,2,1
-5.16,6.37,6.02,0.44,0.58,1.43,534.60,611.00,0,2,1
-3.42,5.63,4.96,0.89,1.41,3.28,396.40,460.44,0,2,1
1.33,6.09,2.96,0.94,0.54,4.15,370.22,428.47,0,2,1
7.38,4.77,1.88,0.64,0.16,3.95,354.85,453.84,0,2,1
12.75,2.68,0.76,0.40,0.08,2.94,477.21,689.01,0,2,1
10.52,1.87,1.59,0.21,-0.24,1.86,347.13,394.03,0,2,1
8.67,1.41,1.33,0.20,-0.15,1.45,0.00,0.00,0,2,1
13.00,0.35,1.41,0.06,0.15,1.13,0.00,0.00,0,2,1
8.76,0.73,1.88,-0.09,0.66,-0.26,0.00,0.00,0,2,1
11.49,0.25,1.18,-0.13,0.04,0.09,0.00,0.00,0,2,1
9.94,0.36,1.47,-0.04,-0.07,0.02,0.00,0.00,0,2,1
9.79,0.28,1.64,-0.10,0.16,-0.02,0.00,0.00,0,2,1
9.90,0.48,1.53,-0.08,0.20,-0.02,0.00,0.00,0,2,1
9.84,0.43,1.81,-0.09,0.17,0.01,0.00,0.00,0,2,1
9.86,0.41,2.01,-0.08,0.13,-0.03,318.18,597.80,0,2,1
11.33,0.53,2.08,-0.07,-0.06,-0.51,420.66,648.46,0,2,1
12.07,1.49,1.94,-0.13,-0.24,-1.38,708.43,1105.20,0,2,1
13.32,2.87,0.28,-0.35,-0.14,-2.24,800.02,1042.34,0,2,1
8.34,3.03,0.69,-0.85,-0.07,-3.43,743.02,981.60,0,2,1
5.51,4.11,2.09,-0.83,-0.71,-3.42,893.86,1152.25,0,2,1
3.77,5.11,0.73,-1.55,-1.02,-3.96,783.76,1021.15,0,2,1
