ax,ay,az,gx,gy,gz,mav,rms
9.85,-1.1,-0.34,-0.17,-0.05,0.1,0.0,0.0
10.3,-1.18,-0.62,-0.17,-0.03,0.06,0.0,0.0
9.87,-1.23,-0.52,-0.16,-0.03,0.1,0.0,0.0
10.13,-1.29,-0.36,-0.12,-0.2,0.14,0.0,0.0
10.41,-1.15,-1.44,-0.16,-0.28,0.21,0.0,324.89
9.92,-1.6,-1.37,-0.2,-0.24,0.27,0.0,0.0
10.02,-1.94,-1.92,-0.14,-0.21,0.17,0.0,0.0
9.95,-2.22,-1.78,-0.06,-0.11,0.05,0.0,0.0
10.04,-2.01,-1.88,-0.03,-0.05,0.0,0.0,0.0
10.28,-1.94,-1.97,-0.08,-0.09,0.03,0.0,0.0
11.05,-1.95,-1.94,-0.08,-0.35,-0.19,0.0,425.06
11.02,-1.42,-2.49,-0.19,-0.28,-0.8,459.56,694.85
12.45,-0.51,-3.15,-0.34,-0.35,-1.45,460.68,602.43
11.03,0.97,-4.08,-0.71,-0.1,-2.13,472.92,644.67
10.84,2.17,-3.51,-1.29,-0.05,-2.76,841.06,1264.83
8.56,2.59,-2.57,-1.24,0.26,-3.16,935.39,1184.26
3.86,5.23,-1.88,-1.05,0.04,-2.78,1081.2,1442.45
-0.47,9.71,1.05,0.55,0.56,1.05,737.86,810.63
-0.22,7.68,0.57,1.06,0.45,2.23,574.34,619.45
3.83,5.13,-2.19,1.45,0.36,3.5,442.46,536.27
