ax,ay,az,gx,gy,gz,mav,rms
8.06,-5.91,-2.49,-0.07,0.07,0.05,16.99,44.91
8.09,-5.96,-2.51,-0.08,0.01,0.05,14.2,28.29
7.92,-5.96,-2.51,-0.07,0.03,0.03,9.95,16.1
8.02,-6.03,-2.56,-0.08,0.04,0.02,13.56,27.11
7.95,-5.97,-2.54,-0.07,0.03,0.03,13.56,27.11
7.93,-5.95,-2.54,-0.07,0.03,0.02,19.31,45.68
8.1,-6.03,-2.7,-0.07,0.05,0.02,17.59,35.22
8.03,-5.99,-2.63,-0.06,0.08,0.01,14.57,27.99
7.98,-5.99,-2.52,-0.05,0.08,-0.0,22.43,50.03
8.1,-5.88,-2.44,-0.08,0.04,0.01,20.04,43.36
8.09,-5.9,-2.44,-0.08,0.05,0.0,20.04,43.36
8.11,-5.85,-2.46,-0.07,0.05,0.0,12.67,18.23
8.1,-5.93,-2.45,-0.09,0.05,0.02,12.67,18.23
8.13,-5.89,-2.47,-0.07,0.04,-0.01,20.58,53.72
8.13,-5.7,-2.47,-0.04,0.09,0.05,13.08,27.32
8.16,-5.76,-2.39,-0.05,0.09,0.05,13.08,27.32
8.21,-5.9,-2.28,-0.02,0.08,0.03,60.56,147.12
8.98,-5.15,-2.15,-0.58,-0.09,-0.59,470.89,645.02
9.15,-4.91,-2.55,-0.49,-0.37,-0.82,470.89,645.02
9.28,-4.18,-3.3,-0.47,-0.3,-0.8,590.82,751.37
10.8,-2.14,-3.81,-0.53,-0.01,-1.17,631.42,737.87
10.71,-0.54,-3.36,-0.77,-0.24,-1.27,682.56,764.28
10.43,0.72,-3.62,-0.82,-0.23,-1.28,643.57,718.8
9.61,1.5,-3.52,-0.66,-0.16,-1.29,665.41,729.7
9.49,3.17,-3.99,-0.71,0.03,-1.27,617.0,690.02
8.5,4.24,-3.48,-0.81,0.1,-1.32,650.76,724.96
8.14,4.72,-2.79,-0.81,-0.11,-1.22,629.44,697.19
7.02,5.65,-3.34,-0.75,0.12,-1.23,629.44,697.19
5.67,6.55,-2.08,-0.56,-0.01,-1.11,638.56,716.02
5.43,8.51,-1.77,-0.6,-0.09,-1.16,641.18,717.69
4.21,8.12,-1.27,-0.45,-0.2,-0.9,595.15,662.71
3.32,8.74,-1.52,-0.42,-0.01,-0.75,595.15,662.71
2.03,9.23,-0.65,-0.32,-0.04,-0.48,437.37,514.4
2.49,9.23,-0.34,-0.32,-0.22,-0.38,367.69,428.15
1.61,9.64,-0.6,-0.2,0.06,-0.16,372.82,424.57
2.26,9.87,-0.37,-0.1,-0.06,0.15,339.19,403.3
2.21,9.64,-0.17,-0.05,0.03,0.19,339.19,403.3
1.94,9.43,-0.76,-0.0,0.08,0.19,287.46,364.27
2.84,9.47,-0.36,-0.05,0.12,0.16,261.53,316.17
3.33,9.52,-0.53,-0.02,0.27,0.06,207.91,235.7
2.78,9.41,-0.4,-0.09,0.03,0.05,259.73,332.54
3.01,9.36,-0.5,-0.07,0.1,-0.02,251.39,328.6
2.64,9.43,-0.51,-0.09,0.08,-0.04,213.85,295.12
2.64,9.4,-0.39,-0.12,-0.0,-0.03,201.93,274.45
2.5,9.48,-0.42,-0.09,0.07,-0.02,201.93,274.45
2.53,9.56,-0.26,-0.07,0.08,0.04,158.73,187.84
2.83,9.48,-0.23,-0.06,0.0,0.05,219.08,342.77
2.75,9.54,-0.31,-0.05,-0.0,0.06,184.15,236.63
2.38,9.4,-0.39,-0.03,0.09,0.07,190.86,249.16
2.8,9.36,-0.36,-0.01,0.13,0.06,190.86,249.16
2.46,9.25,-0.57,0.06,0.26,0.12,172.93,211.97
2.66,9.4,-0.37,0.17,0.34,0.27,157.01,190.09
3.09,9.07,-0.61,0.31,0.34,0.48,263.66,398.01
3.24,8.76,-0.75,0.34,0.16,0.56,263.66,398.01
3.79,8.21,-1.09,0.47,0.12,0.87,300.94,447.69
4.72,7.5,-1.34,0.52,0.02,1.08,352.41,487.38
4.3,7.1,-2.21,0.64,0.46,1.21,352.41,487.38
7.19,6.79,-2.29,0.55,-0.02,1.37,541.74,692.35
9.63,5.3,-3.1,0.4,-0.08,1.18,498.87,597.8
9.33,4.32,-3.3,0.35,-0.05,1.13,515.78,630.04
8.96,3.5,-3.91,0.32,0.34,1.13,515.78,630.04
8.26,2.24,-3.2,0.37,0.43,1.08,495.2,591.88
9.58,0.92,-3.12,0.22,-0.12,1.14,514.02,618.94
9.96,-0.13,-3.51,0.22,-0.56,1.05,610.1,717.13
9.43,-0.66,-4.47,0.31,-0.08,0.87,610.1,717.13
10.63,-1.6,-3.51,0.28,0.08,0.73,515.65,582.08
7.82,-2.09,-3.89,0.44,0.27,0.69,515.65,582.08
9.82,-3.27,-3.73,0.29,-0.2,0.82,518.15,609.32
9.23,-4.59,-3.7,0.32,0.11,0.51,407.12,489.62
9.65,-4.73,-3.57,0.11,0.11,0.37,477.62,606.05
8.62,-5.09,-3.3,0.15,0.38,0.35,378.23,426.6
8.54,-5.18,-3.25,0.17,0.2,0.37,342.67,424.36
8.86,-5.74,-2.83,0.05,0.18,0.39,314.85,374.79
7.58,-5.48,-3.47,0.04,0.13,0.48,314.85,374.79
8.2,-6.24,-2.71,-0.07,0.34,0.04,172.13,192.51
8.77,-5.73,-2.89,-0.14,-0.0,-0.11,172.13,192.51
9.85,-5.52,-2.91,-0.16,-0.02,0.04,107.61,122.66
6.49,-6.06,-3.14,-0.03,0.25,0.04,78.85,94.58
8.06,-5.96,-2.72,-0.1,0.04,0.03,63.27,76.47
