ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
0.86,-2.7,7.88,-0.06,0.05,0.02,989.02,1359.59,0,0,4
-3.81,-2.82,7.91,-0.07,0.09,0.02,434.65,594.43,0,0,4
-10.97,-2.84,8.49,0.31,-2.83,4.13,589.36,851.8,0,0,4
7.19,-3.78,4.8,0.37,0.24,2.73,882.86,1103.62,0,0,4
14.09,-1.5,6.74,-0.42,-2.44,-2.19,750.38,832.61,0,0,4
-3.42,7.36,2.92,-0.41,0.32,-1.47,1012.55,1342.82,0,0,4
3.12,4.58,0.5,0.12,-0.03,3.72,869.6,1158.26,0,0,4
9.38,-3.25,6.05,0.67,0.42,0.34,1299.76,1551.17,1,0,4
9.06,-3.32,6.48,-0.33,-0.7,-0.54,824.02,933.82,0,1,4
4.19,4.24,0.53,-0.4,0.91,-3.65,844.51,1116.35,0,1,4
0.83,9.27,2.97,-0.06,-0.05,0.08,685.96,869.29,0,1,4
-0.04,6.17,1.75,0.05,-0.02,2.58,1129.64,1341.71,0,1,4
9.97,-1.65,6.44,0.5,1.79,1.88,1571.17,1773.2,1,1,4
7.22,-1.85,6.24,-0.11,0.07,-0.02,1115.18,1186.51,0,2,4
7.6,-2.07,6.34,-0.25,-0.1,-0.1,688.55,757.57,0,2,4
6.95,2.59,2.63,-0.08,0.18,-3.39,809.38,1125.07,0,2,4
-2.28,9.2,2.51,-0.07,0.02,-0.42,1065.35,1330.71,0,2,4
-0.52,9.19,2.5,-0.09,0.04,0.07,722.07,829.59,0,2,4
-2.09,8.82,3.23,0.11,0.29,0.55,535.98,628.73,0,2,4
10.63,0.22,3.8,0.21,1.61,2.39,1380.54,1708.46,1,2,4
7.83,-1.32,5.92,-0.09,-0.1,-0.04,906.9,994.24,0,3,4
7.73,-1.23,5.68,-0.09,0.07,0.03,643.65,699.43,0,3,4
12.76,-1.56,5.91,-0.45,-1.3,-1.31,420.54,461.13,0,3,4
1.21,7.19,2.3,-0.19,-0.21,-2.46,770.78,1051.74,0,3,4
-0.71,9.27,2.16,-0.01,-0.03,0.1,701.8,885.8,0,3,4
-1.03,9.27,2.13,-0.05,0.07,0.16,756.98,912.34,0,3,4
6.63,3.64,-0.18,-0.29,0.28,3.98,733.92,960.62,0,3,4
10.3,-3.45,5.44,0.25,0.71,0.72,818.29,1076.52,0,3,4
7.97,-2.6,5.23,-0.07,0.02,0.04,509.8,577.38,0,3,4
7.96,-2.59,5.03,-0.05,0.09,0.03,404.52,452.89,0,3,4
9.09,1.3,2.77,-0.26,-0.44,-3.48,428.79,596.67,0,3,4
-0.71,8.92,2.37,-0.24,-0.06,-0.79,910.18,1229.39,0,3,4
-0.42,9.28,2.23,-0.04,-0.01,0.18,774.6,926.84,0,3,4
-1.06,8.63,1.67,0.2,-0.11,1.36,1054.11,1205.43,0,3,4
11.42,0.0,4.39,0.21,1.35,2.5,1057.28,1341.74,0,3,4
8.06,-1.4,5.89,-0.04,0.03,-0.03,832.61,889.98,0,3,4
7.79,-1.47,5.46,-0.08,0.03,-0.02,452.45,523.99,0,3,4
9.02,-1.43,5.03,-0.21,-0.26,-0.1,400.08,477.74,0,3,4
5.26,4.3,1.79,-0.06,0.58,-3.19,704.36,1022.77,0,3,4
-2.43,9.14,2.3,-0.12,-0.21,0.02,664.64,810.26,0,3,4
-0.92,9.04,3.22,-0.06,-0.07,0.18,677.67,828.76,0,3,4
7.21,4.82,0.98,0.06,-0.06,3.54,1327.96,1651.37,1,3,4
6.99,-1.59,6.32,-0.24,-0.11,-0.14,792.18,901.64,0,4,4
7.48,-1.43,5.82,-0.05,0.05,-0.02,622.71,698.2,0,4,4
8.62,-1.64,5.53,-0.21,-0.3,-0.17,397.89,447.49,0,4,4
4.27,4.43,3.08,0.14,0.65,-3.12,507.02,701.15,0,4,4
-2.51,8.75,3.61,-0.1,0.07,-0.09,802.68,1044.83,0,4,4
-0.74,8.37,4.15,-0.13,-0.01,0.07,641.69,707.55,0,4,4
-1.98,8.0,4.5,0.09,0.23,0.61,409.62,496.01,0,4,4
8.95,-0.68,6.26,-0.15,0.54,2.86,1167.92,1537.85,1,4,4
7.29,-1.18,6.05,-0.04,0.03,-0.07,587.13,678.5,0,5,4
7.5,-1.05,5.94,-0.03,0.04,-0.0,519.31,575.7,0,5,4
10.72,0.68,4.56,-0.49,-0.89,-2.96,393.75,454.6,0,5,4
-1.33,7.47,3.86,-0.36,0.21,-1.5,1141.23,1551.53,1,5,4
-1.38,8.19,4.08,-0.11,0.07,0.06,814.99,924.47,0,6,4
-1.71,8.09,4.49,0.07,0.18,0.22,692.92,812.13,0,6,4
10.28,2.24,0.73,-0.41,0.03,3.25,761.35,1043.17,0,6,4
7.61,-1.89,5.25,-0.19,0.03,-0.02,550.41,644.08,0,6,4
8.27,-1.79,5.05,-0.07,0.04,0.03,471.65,532.83,0,6,4
14.26,-1.77,4.3,-0.34,-1.34,-1.56,418.83,475.43,0,6,4
-2.53,6.73,2.91,-0.12,0.66,-2.83,628.76,901.63,0,6,4
-1.14,8.97,3.44,-0.12,0.16,-0.0,707.13,896.8,0,6,4
-0.15,9.03,3.28,-0.12,-0.16,0.22,804.4,976.89,0,6,4
9.27,-1.36,3.06,0.16,0.43,3.92,1071.11,1400.87,0,6,4
5.97,-2.85,6.23,-0.22,-0.08,-0.4,864.11,898.96,0,6,4
6.99,-3.2,5.89,-0.1,-0.03,0.19,478.24,541.33,0,6,4
11.72,-3.66,5.53,-0.23,-1.0,-1.05,350.14,400.67,0,6,4
4.77,5.57,3.2,-0.59,0.65,-2.12,631.42,908.19,0,6,4
2.13,8.2,4.21,-0.04,0.17,0.11,523.32,646.17,0,6,4
0.51,8.43,4.58,-0.01,0.05,0.1,701.59,887.93,0,6,4
8.77,0.8,3.32,-0.05,0.27,3.07,1301.79,1636.4,1,6,4
8.35,-2.37,4.66,-0.03,0.05,0.03,808.75,877.93,0,7,4
8.21,-2.6,4.92,-0.03,0.02,0.11,600.65,635.2,0,7,4
