ax,ay,az,gx,gy,gz,mav,rms
-3.75,-4.52,7.13,-0.06,0.1,0.04,0.0,0.0
-3.75,-4.57,7.11,-0.08,0.05,0.03,0.0,0.0
-3.69,-4.55,7.13,-0.09,0.03,-0.01,0.0,0.0
-3.58,-4.7,7.09,-0.07,-0.01,0.03,0.0,0.0
-3.71,-4.6,7.1,-0.04,0.01,0.01,0.0,0.0
-3.6,-4.6,7.09,-0.07,0.03,0.01,0.0,0.0
-3.82,-4.56,7.13,-0.09,0.02,0.05,0.0,0.0
-3.8,-4.63,7.02,-0.07,-0.03,0.07,0.0,342.96
-3.75,-4.57,7.09,-0.02,0.02,0.04,0.0,338.26
-3.8,-4.52,7.15,-0.07,0.03,0.0,0.0,0.0
-3.77,-4.53,7.06,-0.05,0.05,0.03,0.0,0.0
-3.79,-4.52,7.12,-0.07,0.02,0.02,0.0,0.0
-3.76,-4.53,7.1,-0.08,0.05,0.03,0.0,0.0
-3.86,-4.53,7.08,-0.05,0.03,0.01,0.0,0.0
-3.67,-4.55,7.08,-0.06,0.05,0.01,0.0,0.0
-3.87,-4.51,7.12,-0.06,0.04,0.01,0.0,0.0
-3.81,-4.52,7.11,-0.07,0.06,0.03,0.0,0.0
-3.85,-4.54,7.11,-0.06,0.05,0.02,0.0,0.0
-3.74,-4.52,7.07,-0.06,0.04,0.02,0.0,0.0
-3.85,-4.5,7.14,-0.06,0.05,0.01,0.0,0.0
-3.82,-4.53,7.11,-0.05,0.04,0.01,0.0,0.0
-3.77,-4.51,7.11,-0.07,0.04,0.02,0.0,0.0
-3.76,-4.51,7.08,-0.06,0.01,0.0,0.0,0.0
-3.77,-4.52,7.11,-0.07,0.05,0.02,0.0,0.0
-3.8,-4.51,7.13,-0.07,0.04,0.02,0.0,0.0
-3.75,-4.52,7.1,-0.08,0.0,0.02,0.0,0.0
-3.73,-4.54,7.08,-0.07,0.05,0.02,0.0,0.0
-3.83,-4.52,7.12,-0.06,0.06,0.02,0.0,0.0
-3.79,-4.51,7.11,-0.07,0.06,0.03,0.0,0.0
-3.79,-4.51,7.08,-0.07,0.03,0.02,0.0,0.0
-3.75,-4.53,7.07,-0.06,0.06,0.03,0.0,0.0
-3.85,-4.52,7.11,-0.05,0.03,0.04,0.0,0.0
-3.8,-4.53,7.1,-0.06,0.04,0.03,0.0,0.0
-3.81,-4.44,7.15,-0.03,0.04,0.05,0.0,0.0
-3.75,-4.46,7.27,-0.15,0.04,0.04,0.0,0.0
-3.87,-4.88,6.97,-0.33,0.2,-0.12,0.0,0.0
-3.72,-5.35,7.19,-0.33,0.48,-0.08,0.0,0.0
-6.18,-6.96,7.06,0.12,0.6,0.37,0.0,0.0
-7.45,-7.09,7.36,0.38,0.83,1.8,0.0,0.0
-6.72,-3.79,6.51,0.34,0.82,2.55,0.0,0.0
-6.24,-0.12,6.58,0.4,-0.09,2.06,0.0,0.0
-6.0,1.13,5.29,0.74,0.11,1.6,0.0,0.0
-5.35,2.04,4.42,0.61,-0.06,1.24,0.0,0.0
-3.72,3.22,3.3,-0.05,-0.15,0.45,0.0,0.0
-4.2,2.74,5.04,-0.79,-0.18,-0.55,0.0,0.0
-6.43,2.22,6.52,-0.61,0.4,-0.61,0.0,0.0
-7.13,2.81,8.65,0.15,0.04,-0.44,0.0,0.0
-7.26,3.26,8.55,1.42,0.61,-0.04,0.0,0.0
-8.28,3.4,4.85,2.04,1.84,0.62,0.0,0.0
-9.1,4.85,1.83,1.49,1.66,1.59,0.0,0.0
-8.4,7.26,0.17,0.73,1.06,2.06,0.0,0.0
-5.77,8.13,-1.11,0.21,-0.11,2.49,0.0,0.0
-3.1,7.65,-1.39,-0.23,-0.6,2.53,410.69,532.57
0.5,7.01,-0.1,-0.61,-0.88,1.82,311.44,379.39
1.71,7.51,1.44,-0.89,-0.54,0.85,0.0,0.0
2.57,8.9,1.94,-0.73,-0.6,0.26,314.39,375.87
2.3,9.18,2.57,-0.51,-0.66,-0.12,315.1,357.67
2.07,9.31,2.19,-0.29,-0.24,-0.25,0.0,335.76
1.4,9.44,2.45,-0.19,-0.15,-0.16,316.59,388.58
1.46,9.15,2.44,-0.07,0.04,0.0,328.44,387.92
1.48,9.02,2.66,-0.1,0.1,-0.06,392.95,448.85
1.08,9.33,2.93,-0.09,0.13,-0.01,375.06,420.93
1.41,8.97,2.94,-0.09,0.12,0.04,360.35,394.06
1.2,9.0,3.32,-0.11,-0.01,0.04,355.39,397.61
1.6,8.88,3.07,-0.04,-0.1,0.06,399.3,445.67
1.87,8.97,2.76,-0.03,-0.15,0.07,390.32,445.68
1.78,8.97,2.47,-0.0,-0.05,-0.01,360.25,413.17
1.49,9.09,2.45,-0.05,0.08,0.0,370.05,418.38
