ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
3.8,8.44,2.93,-0.05,0.03,0.02,0.0,0.0,0,0,1
3.98,8.35,2.73,-0.06,0.02,0.02,0.0,0.0,0,0,1
3.92,8.33,2.86,-0.06,0.04,-0.01,0.0,0.0,0,0,1
3.95,8.31,2.86,-0.0,0.06,-0.01,0.0,0.0,0,0,1
3.57,8.46,3.2,0.2,0.12,-0.04,0.0,0.0,0,0,1
3.57,8.49,2.61,0.36,0.13,-0.03,0.0,0.0,0,0,1
3.44,8.45,2.33,0.35,0.19,-0.09,0.0,0.0,0,0,1
3.64,9.85,1.62,0.29,0.15,-0.12,0.0,0.0,0,0,1
6.21,12.71,0.49,0.32,-0.17,0.1,309.89,422.15,0,0,1
6.81,13.84,-0.09,0.21,0.31,-0.31,483.84,753.87,0,0,1
2.45,10.64,-0.51,-0.35,-0.45,-1.29,445.81,609.61,0,0,1
-1.31,6.21,1.56,-1.26,-1.22,-1.56,1930.33,2315.32,1,0,1
-1.67,6.59,2.65,-0.11,0.13,0.32,900.21,1021.22,0,1,1
-0.53,6.86,2.89,0.03,0.23,1.17,722.89,913.8,0,1,1
-0.34,6.47,4.13,0.2,0.79,1.32,475.52,552.7,0,1,1
-0.19,7.45,3.9,0.8,0.61,1.67,415.81,488.3,0,1,1
2.37,8.48,2.29,0.87,0.45,1.31,440.13,531.69,0,1,1
3.68,10.79,0.71,0.77,0.21,0.82,464.0,522.82,0,1,1
5.16,9.48,-1.32,0.47,0.39,0.09,349.68,395.54,0,1,1
3.16,8.93,-0.27,0.18,-0.26,-0.19,315.31,344.56,0,1,1
4.18,11.29,-0.75,-0.46,-0.32,-0.55,0.0,356.84,0,1,1
4.25,12.2,-0.49,-0.83,0.32,-1.08,312.37,446.01,0,1,1
1.42,11.42,1.31,-0.1,0.27,0.26,0.0,305.42,0,1,1
2.32,10.54,0.64,-0.04,0.3,0.51,306.27,376.4,0,1,1
3.08,10.27,1.81,-0.1,0.02,0.53,362.34,510.48,0,1,1
4.99,12.06,0.53,0.03,0.27,0.41,512.26,688.69,0,1,1
4.05,11.58,0.74,-0.02,-0.47,0.21,462.02,710.92,0,1,1
2.09,10.22,-0.07,-0.22,-0.25,-0.72,412.55,516.66,0,1,1
0.85,7.24,0.78,-1.06,-1.01,-1.16,850.31,1266.86,0,1,1
1.81,5.91,3.21,-0.77,-0.57,-1.32,2135.36,2344.7,1,1,1
2.3,7.02,2.35,-0.17,0.66,-1.31,1191.02,1402.79,1,1,1
-0.76,7.13,2.1,-0.1,0.41,-1.44,1174.49,1296.04,0,2,1
-1.27,9.07,0.88,-0.02,-0.13,-0.1,954.8,1110.04,0,2,1
-1.84,8.2,1.6,-0.18,-0.01,0.44,671.03,771.83,0,2,1
-2.08,6.62,3.04,-0.28,0.07,1.2,514.63,600.06,0,2,1
-0.43,6.23,3.9,0.04,-0.0,1.6,400.3,470.45,0,2,1
1.52,8.29,2.99,0.27,0.58,1.55,468.39,566.59,0,2,1
2.21,8.79,2.84,0.49,0.02,0.97,434.61,492.87,0,2,1
2.73,8.79,1.93,0.51,-0.49,0.47,433.42,481.64,0,2,1
4.11,9.75,-0.22,0.21,-0.4,-0.04,383.04,428.64,0,2,1
2.4,10.34,0.07,-0.35,-0.7,-0.51,423.89,481.3,0,2,1
4.57,12.13,0.69,-0.35,0.09,-0.68,603.95,734.36,0,2,1
1.74,11.15,2.08,-0.33,-0.03,-0.81,687.09,827.33,0,2,1
2.34,10.83,1.41,-0.21,-0.06,-0.02,683.95,820.11,0,2,1
1.4,10.46,1.79,0.05,-0.01,0.27,601.38,658.78,0,2,1
2.91,11.55,1.37,0.21,-0.03,0.56,561.26,648.57,0,2,1
3.11,12.08,1.17,0.17,0.57,0.59,508.98,573.38,0,2,1
3.88,11.52,1.71,0.26,-0.17,0.18,589.27,741.24,0,2,1
0.71,9.99,0.19,0.13,0.16,-0.47,496.58,579.99,0,2,1
-0.39,7.95,-0.15,-0.57,-0.16,-0.71,547.93,728.83,0,2,1
-0.27,8.1,1.77,-0.8,-0.67,-0.73,776.63,1138.93,0,2,1
1.42,7.74,2.48,-0.54,0.02,-1.34,798.72,1058.39,0,2,1
-0.42,6.53,2.94,-0.14,0.55,-1.71,923.75,1288.58,0,2,1
-2.72,7.22,2.58,-0.14,-0.12,-0.19,1010.49,1358.66,0,2,1
-1.11,8.08,2.1,-0.08,0.16,0.23,1088.25,1377.39,0,2,1
-0.38,7.17,1.37,-0.11,-0.16,0.7,1045.81,1307.53,0,2,1
-0.48,6.14,2.21,-0.09,0.05,1.81,772.56,858.28,0,2,1
1.1,6.63,2.94,0.02,-0.58,2.16,602.77,702.28,0,2,1
3.06,7.91,4.01,0.47,0.48,1.38,511.28,587.65,0,2,1
2.9,10.18,2.06,0.74,0.55,0.88,450.09,530.9,0,2,1
5.27,11.61,-0.09,0.17,-0.02,0.61,436.44,521.17,0,2,1
4.87,9.4,1.73,-0.34,0.05,-0.4,349.9,394.74,0,2,1
4.19,9.43,2.07,-0.42,-0.32,-0.56,436.85,562.08,0,2,1
3.85,11.48,2.07,-0.43,0.23,-0.71,775.1,976.85,0,2,1
2.71,9.94,2.21,-0.16,0.18,0.14,751.6,868.37,0,2,1
3.27,8.71,2.06,0.09,-0.07,0.11,643.0,797.99,0,2,1
3.47,9.29,2.06,-0.01,0.18,0.11,712.65,823.87,0,2,1
5.6,11.15,2.11,0.26,-0.14,0.09,634.73,730.65,0,2,1
4.55,12.88,2.22,0.44,-0.0,0.37,586.98,679.22,0,2,1
4.69,11.8,0.64,0.28,-0.28,0.08,501.09,607.23,0,2,1
1.86,8.02,-0.09,-0.28,-0.13,-0.92,659.21,847.99,0,2,1
0.85,6.92,0.49,-0.92,-0.77,-1.02,709.91,978.84,0,2,1
1.26,6.37,3.26,-1.01,-0.38,-1.25,633.36,826.57,0,2,1
1.21,6.15,3.07,-0.44,0.42,-1.68,725.6,944.71,0,2,1
