ax,ay,az,gx,gy,gz,mav,rms,label_kontraksi,repetisi,id_orang
1.03,-2.14,9.33,-0.05,0.05,0.08,819.93,1103.55,0,0,1
1.30,-1.66,8.89,-0.06,0.06,0.09,759.12,985.55,0,0,1
0.88,-1.86,9.19,0.01,0.16,0.01,729.79,928.93,0,0,1
0.86,-1.92,9.16,0.03,0.20,-0.03,642.58,752.25,0,0,1
1.00,-1.54,8.84,0.00,0.18,-0.04,602.92,692.42,0,0,1
0.64,-1.38,8.93,-0.04,0.10,-0.02,584.34,651.39,0,0,1
-0.03,-1.56,9.72,0.12,0.71,0.02,504.89,557.73,0,0,1
-1.72,-0.83,9.65,0.57,1.19,0.29,461.65,500.91,0,0,1
-1.87,-0.19,8.92,0.80,1.17,0.42,406.04,450.07,0,0,1
-3.29,0.77,8.56,0.80,1.48,0.62,421.12,514.89,0,0,1
-4.71,1.45,8.40,0.75,1.05,0.82,397.94,478.07,0,0,1
-5.51,2.78,7.29,0.80,1.74,1.00,427.94,490.00,0,0,1
-5.70,4.38,5.26,0.61,2.04,1.45,410.25,491.42,0,0,1
-7.59,7.26,3.81,0.51,2.09,1.95,386.93,462.96,0,0,1
-5.01,11.69,2.28,0.29,1.06,2.32,562.07,765.44,0,0,1
-3.38,13.22,2.19,0.18,-0.19,2.34,1084.88,1535.46,1,0,1
-2.61,9.24,2.52,0.32,0.14,0.41,1132.42,1471.69,1,0,1
-6.26,5.87,0.66,0.74,-0.43,-0.79,817.17,983.95,0,1,1
-1.65,2.81,1.61,0.33,0.49,-1.39,710.40,798.32,0,1,1
-4.13,4.86,1.84,-0.37,-0.65,-0.83,936.34,1233.38,0,1,1
-3.21,4.39,2.87,-0.59,0.35,0.97,802.09,896.06,0,1,1
-2.93,4.85,1.99,-0.70,0.32,1.67,980.06,1274.45,0,1,1
-2.76,6.10,3.32,-0.67,0.32,0.71,718.16,779.05,0,1,1
-2.43,9.81,1.72,-0.14,0.14,-0.65,692.24,803.56,0,1,1
-3.63,9.71,1.18,-0.10,0.88,-2.04,802.72,1026.66,0,1,1
-8.56,11.51,2.93,0.55,-0.03,-2.18,681.33,772.02,0,1,1
-11.16,11.87,3.07,1.05,0.14,-0.64,504.74,556.35,0,1,1
-6.34,9.59,1.49,0.03,-0.03,0.71,440.26,523.01,0,1,1
-5.07,8.85,0.85,-0.40,-0.21,0.84,400.22,428.90,0,1,1
-5.83,12.04,1.71,-0.50,-0.31,1.44,423.87,595.12,0,1,1
-6.02,11.99,3.51,-0.54,-0.60,1.36,420.29,543.92,0,1,1
-6.02,11.99,3.51,-0.54,-0.60,1.36,352.20,408.33,0,1,1
-3.72,9.05,2.65,0.03,0.60,0.33,414.71,544.67,0,1,1
-3.47,5.34,2.52,0.34,-1.18,-0.68,381.02,450.37,0,1,1
-3.14,4.43,1.95,0.50,-0.02,-1.21,358.41,397.03,0,1,1
-4.29,3.66,2.60,-0.09,0.04,-1.07,311.00,336.25,0,1,1
-3.39,4.35,2.96,-0.50,-0.15,0.26,414.29,643.94,0,1,1
-3.30,2.73,3.93,-0.43,0.90,1.55,738.66,1063.13,0,1,1
-2.49,6.43,2.58,-0.43,0.01,1.52,478.61,569.66,0,1,1
-4.23,6.53,4.33,-0.30,0.11,0.33,487.10,605.60,0,1,1
-3.29,8.73,2.93,0.01,-0.14,-0.48,473.03,533.16,0,1,1
-3.37,9.84,1.80,0.39,0.22,-1.77,377.29,416.37,0,1,1
-5.68,11.91,0.98,0.98,-0.64,-1.59,317.45,347.41,0,1,1
-5.94,12.58,0.67,0.23,-0.08,-0.19,351.95,444.41,0,1,1
-5.25,8.40,1.98,-0.57,-0.49,0.41,421.80,563.57,0,1,1
-5.94,7.57,1.53,-0.50,0.15,0.46,343.38,375.91,0,1,1
-5.29,11.14,2.54,-0.55,-0.40,0.99,502.29,678.50,0,1,1
-5.20,12.40,3.05,-0.66,-1.46,1.67,495.92,665.94,0,1,1
-1.55,10.86,4.72,-0.37,-0.94,0.95,501.89,699.17,0,1,1
1.99,10.18,2.49,-0.36,-2.74,-0.16,515.11,666.32,0,1,1
-0.10,3.97,5.22,-0.71,-1.21,-1.95,474.04,520.04,0,1,1
-2.20,-0.96,6.16,-0.81,-2.42,-1.59,567.75,744.60,0,1,1
