ax,ay,az,gx,gy,gz,mav,rms
3.88,8.61,2.55,-0.09,0.04,0.02,1087.86,1232.21
3.84,8.44,2.64,-0.07,0.08,0.05,1054.68,1175.39
3.84,8.44,2.61,-0.07,0.1,0.04,1085.67,1215.64
3.81,8.45,2.79,-0.09,0.07,0.04,1051.99,1171.86
3.93,8.47,2.75,-0.07,0.06,0.05,1031.49,1143.31
4.15,8.52,2.81,-0.06,0.01,-0.0,1062.16,1185.96
4.41,8.49,2.99,-0.04,-0.13,-0.16,1089.71,1222.06
6.52,8.56,3.09,0.1,-0.38,-0.89,1065.15,1188.57
3.79,9.05,2.24,0.18,0.09,-1.91,915.86,1049.08
-0.57,10.65,2.17,0.17,0.1,-1.87,794.34,898.33
-0.86,9.89,1.61,0.16,-0.6,-2.02,779.45,885.6
-3.49,6.62,1.67,0.12,-0.7,-2.56,647.98,733.95
-4.58,3.0,1.86,0.04,-0.53,-3.0,579.01,710.95
-7.49,2.06,1.93,0.47,-0.25,-2.52,561.56,645.02
-12.17,4.6,1.71,-0.01,0.53,-0.0,429.55,475.83
-8.92,4.51,1.34,-0.16,0.31,-0.0,305.19,348.3
-8.39,4.66,1.51,-0.14,-0.21,0.3,0.0,0.0
-7.7,4.65,1.76,-0.15,-0.0,0.36,0.0,0.0
-7.09,4.91,1.46,-0.14,-0.1,0.36,0.0,0.0
-8.9,4.57,2.17,-0.2,0.2,0.68,0.0,0.0
-7.58,3.71,2.32,-0.28,0.18,2.47,0.0,0.0
-5.02,5.4,1.48,-0.43,0.55,2.85,372.19,456.99
-2.78,8.47,1.84,-0.5,0.55,2.52,719.2,958.72
0.4,9.55,2.35,-0.35,0.42,2.07,1859.86,2206.22
