ax,ay,az,gx,gy,gz,mav,rms
9.68,-3.19,-0.44,-0.11,0.08,-0.0,60.1,104.87
9.67,-3.22,-0.34,-0.07,0.06,-0.05,46.54,66.33
9.7,-3.12,-0.41,-0.05,0.0,-0.0,59.37,103.74
9.62,-3.12,-0.48,-0.06,0.09,0.02,41.33,63.15
9.68,-3.0,-0.29,-0.05,0.08,-0.02,40.82,63.19
9.59,-3.13,-0.27,-0.0,0.09,-0.04,40.15,72.84
9.67,-2.92,-0.18,-0.02,0.05,-0.05,101.46,198.07
9.67,-2.91,-0.26,-0.02,0.04,-0.04,101.46,198.07
9.95,-2.9,-0.41,-0.08,0.09,-0.06,208.23,331.85
10.47,-3.58,0.44,0.03,-0.16,-0.68,539.8,882.46
11.24,-1.14,-1.31,0.22,-0.36,-1.45,746.07,1112.05
10.24,0.12,-1.62,-0.09,0.36,-1.39,903.25,1321.73
10.27,1.16,-1.03,-0.37,0.75,-1.37,748.24,965.85
9.69,2.86,-0.07,-0.38,-0.12,-1.66,1000.81,1270.62
9.07,4.63,0.01,-0.31,0.02,-1.8,1000.81,1270.62
8.45,5.95,0.37,-0.26,0.3,-1.92,1059.9,1291.55
7.63,6.48,0.78,-0.14,0.22,-2.12,1108.89,1336.07
2.47,8.2,-0.11,0.07,0.01,-2.44,915.78,1102.0
0.58,8.61,-0.08,0.05,-0.15,-2.18,819.06,949.23
-1.6,8.33,-0.13,-0.07,-0.21,-2.07,843.96,1032.32
-2.6,8.28,-0.1,-0.18,-0.27,-1.82,843.96,1032.32
-4.88,8.59,0.57,-0.17,-0.09,-0.78,590.07,687.09
-4.93,7.92,0.84,-0.16,-0.07,-0.74,541.37,673.55
-5.5,7.79,0.74,-0.07,0.13,-0.41,477.69,612.35
-5.59,7.72,0.62,-0.06,0.05,-0.22,413.14,480.13
-5.68,7.69,0.5,-0.06,-0.04,-0.13,436.81,648.0
-5.79,7.7,0.6,-0.05,0.08,-0.06,309.0,380.27
-5.98,7.63,0.62,-0.07,0.09,0.02,301.64,368.39
-5.6,7.71,0.46,-0.1,-0.01,0.04,251.98,309.56
-5.68,7.64,0.33,-0.09,0.05,0.02,236.56,306.96
-5.74,7.57,0.58,-0.1,0.06,0.03,269.94,365.46
-5.69,7.58,0.42,-0.13,-0.0,0.07,269.94,365.46
-5.92,7.86,0.65,-0.2,0.22,0.39,228.89,277.36
-5.75,8.02,0.4,-0.16,0.36,0.61,228.89,277.36
-5.45,8.42,0.92,-0.19,0.36,0.85,300.23,488.47
-4.02,8.8,0.35,-0.16,0.2,1.26,236.47,319.15
-2.03,8.79,0.49,-0.14,0.16,1.68,302.47,416.59
-0.84,9.01,0.46,-0.15,0.07,1.87,338.08,460.22
1.31,8.68,0.33,-0.0,-0.3,2.05,606.79,872.21
3.25,8.48,0.29,0.06,-0.3,2.1,793.48,1167.57
5.77,7.51,0.04,0.14,-0.27,1.97,738.09,1040.39
6.21,6.47,0.16,0.17,-0.13,1.99,687.17,869.72
8.02,4.91,-0.62,0.2,-0.35,2.27,701.46,965.81
9.67,2.54,-0.94,0.21,-0.14,2.4,809.88,1055.52
10.44,2.06,-1.38,0.1,-0.12,2.35,809.88,1055.52
10.95,-1.68,-0.46,0.08,0.09,1.25,685.78,814.97
9.85,-1.46,-1.48,0.1,0.5,0.62,486.8,535.37
10.06,-2.39,0.21,0.16,0.34,0.71,395.08,412.57
10.13,-2.99,0.08,0.01,0.25,0.39,259.64,276.72
9.47,-2.68,0.01,-0.06,-0.36,0.2,213.21,223.65
9.6,-2.98,-0.61,-0.03,-0.38,0.18,156.89,174.19
9.71,-3.12,-1.03,0.04,-0.25,0.01,113.74,122.17
9.68,-2.93,-1.3,-0.08,-0.01,0.07,116.28,136.94
9.64,-2.98,-0.97,-0.13,0.15,0.1,94.17,128.65
9.63,-3.08,-1.08,-0.11,0.15,0.11,94.17,128.65
9.55,-3.21,-0.84,-0.14,0.06,-0.04,72.55,97.14
9.69,-3.11,-0.96,-0.13,0.05,-0.02,70.52,107.75
9.72,-3.03,-0.92,-0.08,-0.04,-0.08,46.68,63.43
9.93,-2.81,-1.06,-0.05,0.0,0.04,46.68,63.43
9.74,-2.91,-0.87,-0.12,0.06,0.06,44.86,64.71
9.83,-2.89,-1.04,-0.1,0.05,0.08,46.23,72.28
